X;Y;Z;Q1;Q2;Q3;Q4;Q5;Q6
1200;0;0;0.0950049849872886;18.3901320187574;-10.654713393442;0.00826148684786976;5.97760540468687;0
1200;0;10;-0.111820000575955;18.5778366523785;-12.3022547422837;0.0641636312047005;15.5559837468064;0
1190;0;10;-0.117037465127352;18.035068984502;-14.0778862607553;0.172541825647587;27.8406950862429;0
1200;0;20;0.0752826102327352;16.3290780298808;-19.2102025963417;0.302919232802831;42.2839336552093;0
1190;0;20;-0.149258513319654;14.10747882339;-23.2566627502866;0.485058531601683;59.4494747807424;0
1180;0;20;-0.174594807540347;11.0174108745618;-28.0524399323519;0.699434987341165;78.2003559647161;0
1200;0;30;-0.19879231930791;6.12277276536849;-37.6304001050559;0.939608892762577;96.6205704351307;0
1190;0;30;-0.211701069222833;2.40459608337283;-42.0416284677218;1.18806987754242;115.741856775994;0
1180;0;30;-0.0118750567612742;-0.222819683638671;-43.9643069615226;1.43334500812206;132.237421572435;0
1170;0;30;-0.201005704845032;-1.24050805419915;-43.067648203322;1.65137747800772;144.194327067961;0
1200;0;40;-0.193333904453039;-5.21013889780274;-51.921226043927;1.99017270282987;152.794288593215;0
1190;0;40;-0.18565421444871;-4.2828395097185;-48.3459878575446;2.18821074305943;157.907841211781;0
1180;0;40;0.0138734165935079;-3.1083656050668;-44.9023677451634;2.31402118025231;160.053713155977;0
1170;0;40;-0.183458867676332;-1.95061863568598;-41.789843258716;2.40700109409039;160.861803290411;0
1160;0;40;-0.185248454662584;-0.858954731094757;-38.9519946300576;2.47785623412381;161.060905397624;0
1200;0;50;0.0154291898716222;-5.01600878314674;-50.2649833637551;2.67761481819303;162.886873949242;0
1190;0;50;-0.185484770580354;-3.54317650571695;-46.6934100516939;2.77202171062377;162.843056071935;0
1180;0;50;0.00813668719562802;-2.22357824444132;-43.5011938249804;2.84011720504394;162.559491322478;0
1170;0;50;-0.193233470702004;-1.02523529544457;-40.5889505363329;2.89018237823864;162.147634913483;0
1160;0;50;-0.19690062962969;0.0758048403185372;-37.8882739431576;2.92867219859843;161.698226803415;0
1150;0;50;-0.20028188345824;1.09560446894128;-35.3565966725888;2.95594988223533;161.239342637732;0
1200;0;60;-0.194396026068449;-3.9417199536668;-48.9817507983888;3.14464374057425;163.06783768735;0
1190;0;60;0.00017880708024709;-2.50998414542081;-45.5537795830489;3.20290240683887;162.828744218252;0
1180;0;60;-0.00385878625544442;-1.22376909969236;-42.4612047639778;3.23963895543571;162.453939480558;0
1170;0;60;-0.205458791610185;-0.0515082909191684;-39.6197822525106;3.26509368417892;162.013683963922;0
1160;0;60;-0.208848960547361;1.02942625082603;-36.9740725718488;3.28114493997874;161.550157810458;0
1150;0;60;-0.0166813706938239;2.03418727870251;-34.4862770804866;3.28169949193753;161.085698704022;0
1140;0;60;-0.0205010640353109;2.97250272027187;-32.1296366266623;3.27280612848996;160.630092703632;0
1200;0;70;-0.20527579180773;-2.87645533270835;-47.843560240839;3.45231301680517;162.733563794583;0
1190;0;70;-0.208354472866807;-1.49367312590024;-44.5131685537787;3.49448594774268;162.559223585842;0
1180;0;70;-0.0130485505222635;-0.240444117504507;-41.4939282000536;3.51348629967787;162.218228764378;0
1170;0;70;-0.0168282030505565;0.907315852263285;-38.7086086560313;3.51505380861399;161.807533442919;0
1160;0;70;-0.217338912663369;1.96836736458027;-36.1083116239212;3.51251956363869;161.362978915284;0
1150;0;70;-0.220160027713877;2.95786334145294;-33.6587589011438;3.50522367335556;160.905757751309;0
1140;0;70;-0.222646319511756;3.88428851114901;-31.3323910804619;3.49162058446131;160.467556375024;0
1130;0;70;-0.225046810704933;4.75764334166846;-29.1170062554015;3.47229927962364;160.007953643274;0
1200;0;80;-0.0137724758081657;-1.84019063217819;-46.7794713678456;3.65524802118397;162.385950597989;0
1190;0;80;-0.215520949016728;-0.501390204607208;-43.5310729376122;3.67929850336046;162.297611760174;0
1180;0;80;-0.0192769065656276;0.721734863389724;-40.5754228760481;3.68484838343122;161.999814620639;0
1170;0;80;-0.0227446716379587;1.84753291555114;-37.8415201060171;3.67347142724386;161.609048834221;0
1160;0;80;-0.0262761093848639;2.89254642290549;-35.2826129352578;3.6530932128289;161.180458318936;0
1150;0;80;-0.225422964004318;3.86791932960257;-32.8664975059797;3.63253026041032;160.740984437498;0
1140;0;80;-0.227758119631424;4.7848434399208;-30.57089213325;3.61010887072342;160.297382012321;0
1130;0;80;-0.229911462900587;5.6494762559037;-28.3776165813415;3.58461979288723;159.86220874085;0
1120;0;80;-0.231939408133353;6.46862322922127;-26.2761668389208;3.55464347134347;159.417218364385;0
1200;0;90;-0.0180683689301891;-0.832770948616316;-45.7789913851164;3.74563058507575;162.055671788292;0
1190;0;90;-0.0196129923636192;0.469405382603947;-42.6040855552364;3.75430126771351;162.035713426853;0
1180;0;90;-0.221677178611492;1.66438284217898;-39.7052801936123;3.7530716527668;161.777838950049;0
1170;0;90;-0.0258091027607319;2.77104136597208;-37.0161907986647;3.73852861337986;161.417173166161;0
1160;0;90;-0.226275661987535;3.80018092826289;-34.4943697398868;3.71834831941393;161.006988526953;0
1150;0;90;-0.032774845508532;4.76589598623789;-32.1101413709372;3.68998594006585;160.574273480622;0
1140;0;90;-0.0359691670762586;5.67387580679177;-29.8409621303263;3.65253419734878;160.139654059515;0
1130;0;90;-0.039021198597143;6.53205927460298;-27.6716485851948;3.61012980434645;159.701710884306;0
1120;0;90;-0.233548857104045;7.34513264671452;-25.5897852772097;3.57171295605037;159.261445400961;0
